Date,Open,High,Low,Close,Volume
2018-01-18,191.03,201.25,185.78,192.27,689881.36
2018-01-19,192.27,214.72,192.26,210.68,651689.96
2018-01-20,210.68,210.81,182.88,190.73,611724.98
2018-01-21,190.72,194.34,165.42,179.42,795014.67
2018-01-22,179.42,186.11,164.76,177.92,678138.3
2018-01-23,177.91,184.7,172.42,180.59,482992.17
2018-01-24,180.59,184.69,175.21,178.97,408877.4
2018-01-25,178.93,182.15,165.76,175.65,487682.21
2018-01-26,175.65,182.92,173.88,180.71,380203.96
2018-01-27,180.71,194.48,180.29,193.23,435381.16
2018-01-28,193.23,193.42,177.37,180.45,403178.2
2018-01-29,180.45,180.61,159.77,165.38,749016.9
2018-01-30,165.36,166.86,156.37,162.93,573000.11
2018-01-31,162.93,165.71,127.75,141.37,1223518.75
2018-02-01,141.36,142.0,102.51,131.17,2110261.36
2018-02-02,131.17,166.33,120.41,161.0,1506854.19
2018-02-03,161.0,174.66,136.96,147.55,2240983.28
2018-02-04,147.55,153.9,114.72,125.04,2460919.58
2018-02-05,125.02,147.26,105.5,141.85,3195103.97
2018-02-06,141.85,159.11,130.74,137.84,1732911.13
2018-02-07,137.84,151.14,136.97,149.48,935682.3
2018-02-08,149.54,164.24,142.14,163.9,970773.63
2018-02-09,163.92,169.32,147.97,154.91,1107595.53
2018-02-10,154.91,155.86,141.8,149.06,622934.4
2018-02-11,149.06,163.3,149.03,161.4,654870.23
2018-02-12,161.4,162.19,153.0,159.05,411840.59
2018-02-13,159.05,217.42,159.05,212.01,3012197.74
2018-02-14,212.01,237.15,206.77,221.08,2256362.19
2018-02-15,221.08,234.83,210.25,228.39,1279720.76
2018-02-16,228.39,232.71,224.11,229.41,596952.88
2018-02-17,229.43,231.97,211.9,228.89,668129.09
